bucket,period,minute,pts_per_cell,cells
all,1,1,0.12717581410843676,12007
all,1,2,0.326726076455401,12007
all,1,3,0.5337719663529608,12007
all,1,4,0.7140001665695012,12007
all,1,5,0.8241026068126927,12007
all,1,6,0.8833180644623969,12007
all,1,7,0.9487798784042641,12007
all,1,8,0.9016407095860748,12007
all,1,9,0.9609394519863413,12007
all,1,10,0.898309319563588,12007
all,1,11,0.9290413925210294,12007
all,1,12,0.9662696760223203,12007
all,1,13,0.8933122345298575,12007
all,1,14,0.9586074789706005,12007
all,1,15,1.0891146831015242,12007
all,2,1,1.142750062463563,12007
all,2,2,0.8957274922961606,12007
all,2,3,0.9585241942200383,12007
all,2,4,0.9292079620221537,12007
all,2,5,0.9834263346381278,12007
all,2,6,0.9493628716581994,12007
all,2,7,0.9270425585075373,12007
all,2,8,0.9519446989256267,12007
all,2,9,0.9769301240942784,12007
all,2,10,0.9411176813525444,12007
all,2,11,0.9461980511368369,12007
all,2,12,0.9457816273840259,12007
all,2,13,1.0022486882651787,12007
all,2,14,1.5330224035979012,12007
all,2,15,3.172316148913134,12007
all,3,1,0.3746980927792121,12007
all,3,2,0.47480636295494294,12007
all,3,3,0.7060048305155326,12007
all,3,4,0.884317481469143,12007
all,3,5,0.9711834763054885,12007
all,3,6,0.9452819188806529,12007
all,3,7,0.9717664695594237,12007
all,3,8,0.967602232031315,12007
all,3,9,0.956442075455984,12007
all,3,10,0.9725160323144832,12007
all,3,11,0.9542766719413676,12007
all,3,12,0.9260431415007913,12007
all,3,13,0.9522778379278755,12007
all,3,14,0.9330390605480137,12007
all,3,15,1.0368951444990422,12007
all,4,1,1.0729574414924627,12007
all,4,2,0.8737403181477471,12007
all,4,3,0.9226284667277421,12007
all,4,4,0.9436162238694095,12007
all,4,5,0.9288748230199051,12007
all,4,6,0.9103023236445407,12007
all,4,7,0.8913966852669276,12007
all,4,8,0.8535854085117015,12007
all,4,9,0.888231864745565,12007
all,4,10,0.8629965853252269,12007
all,4,11,0.8395102856666944,12007
all,4,12,0.8829016407095861,12007
all,4,13,0.9656866827683851,12007
all,4,14,1.1793120679603564,12007
all,4,15,1.245440159906721,12007
