bucket,period,minute,pts_per_cell,cells
spread 0-3,1,1,0.09911779968863518,1927
spread 0-3,1,2,0.2703684483653347,1927
spread 0-3,1,3,0.4618578100674624,1927
spread 0-3,1,4,0.6938245978204463,1927
spread 0-3,1,5,0.7784120394395433,1927
spread 0-3,1,6,0.8173326414115205,1927
spread 0-3,1,7,0.9491437467566165,1927
spread 0-3,1,8,0.9538142189932538,1927
spread 0-3,1,9,0.916969382459782,1927
spread 0-3,1,10,0.8702646600934094,1927
spread 0-3,1,11,0.8012454592631033,1927
spread 0-3,1,12,0.885313959522574,1927
spread 0-3,1,13,0.826673585884795,1927
spread 0-3,1,14,0.8770108977685521,1927
spread 0-3,1,15,1.0679813181110533,1927
spread 0-3,2,1,1.218993253762325,1927
spread 0-3,2,2,0.8489880643487286,1927
spread 0-3,2,3,0.8951738453554748,1927
spread 0-3,2,4,0.8199273482096523,1927
spread 0-3,2,5,0.9667877529839128,1927
spread 0-3,2,6,0.9875454073689673,1927
spread 0-3,2,7,0.7950181629475869,1927
spread 0-3,2,8,0.885313959522574,1927
spread 0-3,2,9,0.9444732745199792,1927
spread 0-3,2,10,0.9247535028541775,1927
spread 0-3,2,11,0.9055526725480021,1927
spread 0-3,2,12,0.9159314997405293,1927
spread 0-3,2,13,1.0576024909185262,1927
spread 0-3,2,14,1.4250129735339907,1927
spread 0-3,2,15,3.0633108458744163,1927
spread 0-3,3,1,0.3113648157758173,1927
spread 0-3,3,2,0.39543331603528803,1927
spread 0-3,3,3,0.6222106901920083,1927
spread 0-3,3,4,0.9211209133367929,1927
spread 0-3,3,5,0.9387649195640893,1927
spread 0-3,3,6,0.8972496107939802,1927
spread 0-3,3,7,0.8993253762324858,1927
spread 0-3,3,8,0.9652309289050337,1927
spread 0-3,3,9,0.975609756097561,1927
spread 0-3,3,10,0.9481058640373637,1927
spread 0-3,3,11,0.9278671510119356,1927
spread 0-3,3,12,0.7929423975090815,1927
spread 0-3,3,13,0.9366891541255838,1927
spread 0-3,3,14,0.8676699532952776,1927
spread 0-3,3,15,1.077322262584328,1927
spread 0-3,4,1,1.0762843798650752,1927
spread 0-3,4,2,0.7929423975090815,1927
spread 0-3,4,3,0.9325376232485729,1927
spread 0-3,4,4,1.0192008303061755,1927
spread 0-3,4,5,0.8707836014530358,1927
spread 0-3,4,6,0.9174883238194084,1927
spread 0-3,4,7,0.9076284379865075,1927
spread 0-3,4,8,0.8515827711468604,1927
spread 0-3,4,9,0.9128178515827712,1927
spread 0-3,4,10,0.9278671510119356,1927
spread 0-3,4,11,0.9418785677218474,1927
spread 0-3,4,12,0.981318111053451,1927
spread 0-3,4,13,1.1183186299948107,1927
spread 0-3,4,14,1.3606642449403217,1927
spread 0-3,4,15,1.5033731188375714,1927
spread 14.5+,1,1,0.1721311475409836,4026
spread 14.5+,1,2,0.3224043715846995,4026
spread 14.5+,1,3,0.5829607550919026,4026
spread 14.5+,1,4,0.7878787878787878,4026
spread 14.5+,1,5,0.8936910084451068,4026
spread 14.5+,1,6,0.9932935916542474,4026
spread 14.5+,1,7,1.0571286636860406,4026
spread 14.5+,1,8,0.8984103328365624,4026
spread 14.5+,1,9,1.0044709388971684,4026
spread 14.5+,1,10,1.0171385991058122,4026
spread 14.5+,1,11,1.0116741182314952,4026
spread 14.5+,1,12,1.0342771982116243,4026
spread 14.5+,1,13,0.9900645802285146,4026
spread 14.5+,1,14,1.0914058618976652,4026
spread 14.5+,1,15,1.150521609538003,4026
spread 14.5+,2,1,1.1684053651266766,4026
spread 14.5+,2,2,0.9634873323397913,4026
spread 14.5+,2,3,0.992548435171386,4026
spread 14.5+,2,4,0.9846000993541977,4026
spread 14.5+,2,5,1.061351217088922,4026
spread 14.5+,2,6,1.024093392945852,4026
spread 14.5+,2,7,0.9932935916542474,4026
spread 14.5+,2,8,0.9597615499254843,4026
spread 14.5+,2,9,1.0250869349230005,4026
spread 14.5+,2,10,0.9528067560854446,4026
spread 14.5+,2,11,1.0136612021857923,4026
spread 14.5+,2,12,0.9927968206656731,4026
spread 14.5+,2,13,1.037506209637357,4026
spread 14.5+,2,14,1.5861897665176354,4026
spread 14.5+,2,15,3.2834078489816196,4026
spread 14.5+,3,1,0.4167908594138102,4026
spread 14.5+,3,2,0.53899652260308,4026
spread 14.5+,3,3,0.8132141082960755,4026
spread 14.5+,3,4,0.8994038748137109,4026
spread 14.5+,3,5,1.0645802285146548,4026
spread 14.5+,3,6,0.9995032290114257,4026
spread 14.5+,3,7,0.9828614008941878,4026
spread 14.5+,3,8,1.0124192747143568,4026
spread 14.5+,3,9,0.9967709885742673,4026
spread 14.5+,3,10,0.9967709885742673,4026
spread 14.5+,3,11,0.9706905116741182,4026
spread 14.5+,3,12,0.9736711376055638,4026
spread 14.5+,3,13,0.9935419771485345,4026
spread 14.5+,3,14,1.0072031793343268,4026
spread 14.5+,3,15,1.0675608544461004,4026
spread 14.5+,4,1,1.0755091902632887,4026
spread 14.5+,4,2,0.8720814704421261,4026
spread 14.5+,4,3,0.9426229508196722,4026
spread 14.5+,4,4,0.8822652757078987,4026
spread 14.5+,4,5,0.9639841033283656,4026
spread 14.5+,4,6,0.9234972677595629,4026
spread 14.5+,4,7,0.9319423745653254,4026
spread 14.5+,4,8,0.8084947839046199,4026
spread 14.5+,4,9,0.8728266269249876,4026
spread 14.5+,4,10,0.8134624937903626,4026
spread 14.5+,4,11,0.819672131147541,4026
spread 14.5+,4,12,0.8373075012419274,4026
spread 14.5+,4,13,0.7789369100844511,4026
spread 14.5+,4,14,1.009438648782911,4026
spread 14.5+,4,15,1.0017386984600098,4026
spread 3.5-7,1,1,0.08602969166349449,2627
spread 3.5-7,1,2,0.3372668443090978,2627
spread 3.5-7,1,3,0.47811191473163306,2627
spread 3.5-7,1,4,0.6284735439665017,2627
spread 3.5-7,1,5,0.776170536733917,2627
spread 3.5-7,1,6,0.8035782261134374,2627
spread 3.5-7,1,7,0.8359345260753711,2627
spread 3.5-7,1,8,0.8542063189950514,2627
spread 3.5-7,1,9,0.9714503235629997,2627
spread 3.5-7,1,10,0.8165207460982109,2627
spread 3.5-7,1,11,0.870574800152265,2627
spread 3.5-7,1,12,0.9623144271031595,2627
spread 3.5-7,1,13,0.8667681766273315,2627
spread 3.5-7,1,14,0.8545869813475447,2627
spread 3.5-7,1,15,1.0118005329272934,2627
spread 3.5-7,2,1,1.1100114198705748,2627
spread 3.5-7,2,2,0.8184240578606776,2627
spread 3.5-7,2,3,0.9935287400076133,2627
spread 3.5-7,2,4,0.9520365435858393,2627
spread 3.5-7,2,5,0.8915112295393985,2627
spread 3.5-7,2,6,0.8408831366577846,2627
spread 3.5-7,2,7,0.9212028930338789,2627
spread 3.5-7,2,8,0.9383326988960792,2627
spread 3.5-7,2,9,0.9337647506661592,2627
spread 3.5-7,2,10,0.9109250095165589,2627
spread 3.5-7,2,11,0.880852683669585,2627
spread 3.5-7,2,12,0.953939855348306,2627
spread 3.5-7,2,13,0.9215835553863723,2627
spread 3.5-7,2,14,1.4803958888465931,2627
spread 3.5-7,2,15,3.0681385610963074,2627
spread 3.5-7,3,1,0.35325466311381803,2627
spread 3.5-7,3,2,0.4541301865245527,2627
spread 3.5-7,3,3,0.6273315569090216,2627
spread 3.5-7,3,4,0.8865626189569852,2627
spread 3.5-7,3,5,0.8370765131328511,2627
spread 3.5-7,3,6,0.8534449942900647,2627
spread 3.5-7,3,7,0.9508945565283593,2627
spread 3.5-7,3,8,0.9326227636086791,2627
spread 3.5-7,3,9,0.9390940236010659,2627
spread 3.5-7,3,10,0.9836315188427864,2627
spread 3.5-7,3,11,0.9448039588884659,2627
spread 3.5-7,3,12,0.9021697754092121,2627
spread 3.5-7,3,13,0.8869432813094785,2627
spread 3.5-7,3,14,0.9021697754092121,2627
spread 3.5-7,3,15,1.0182717929196803,2627
spread 3.5-7,4,1,1.0464408070041873,2627
spread 3.5-7,4,2,0.949371907118386,2627
spread 3.5-7,4,3,0.9215835553863723,2627
spread 3.5-7,4,4,0.9166349448039589,2627
spread 3.5-7,4,5,0.8892272554244385,2627
spread 3.5-7,4,6,0.8934145413018653,2627
spread 3.5-7,4,7,0.9253901789113057,2627
spread 3.5-7,4,8,0.8523030072325847,2627
spread 3.5-7,4,9,0.8519223448800913,2627
spread 3.5-7,4,10,0.8899885801294252,2627
spread 3.5-7,4,11,0.8854206318995052,2627
spread 3.5-7,4,12,0.8488770460601447,2627
spread 3.5-7,4,13,1.1043014845831747,2627
spread 3.5-7,4,14,1.2512371526456034,2627
spread 3.5-7,4,15,1.3361248572516178,2627
spread 7.5-14,1,1,0.12150170648464163,2930
spread 7.5-14,1,2,0.3273037542662116,2930
spread 7.5-14,1,3,0.5436860068259386,2930
spread 7.5-14,1,4,0.6901023890784983,2930
spread 7.5-14,1,5,0.8109215017064847,2930
spread 7.5-14,1,6,0.8556313993174062,2930
spread 7.5-14,1,7,0.9092150170648464,2930
spread 7.5-14,1,8,0.89419795221843,2930
spread 7.5-14,1,9,0.9109215017064847,2930
spread 7.5-14,1,10,0.8457337883959044,2930
spread 7.5-14,1,11,0.937542662116041,2930
spread 7.5-14,1,12,0.9177474402730376,2930
spread 7.5-14,1,13,0.8283276450511945,2930
spread 7.5-14,1,14,0.8982935153583618,2930
spread 7.5-14,1,15,1.0679180887372013,2930
spread 7.5-14,2,1,1.11740614334471,2930
spread 7.5-14,2,2,0.9139931740614334,2930
spread 7.5-14,2,3,0.9068259385665529,2930
spread 7.5-14,2,4,0.9,2930
spread 7.5-14,2,5,0.9610921501706484,2930
spread 7.5-14,2,6,0.9358361774744027,2930
spread 7.5-14,2,7,0.9433447098976109,2930
spread 7.5-14,2,8,0.9552901023890785,2930
spread 7.5-14,2,9,0.9713310580204778,2930
spread 7.5-14,2,10,0.9488054607508533,2930
spread 7.5-14,2,11,0.9040955631399318,2930
spread 7.5-14,2,12,0.8921501706484641,2930
spread 7.5-14,2,13,0.9883959044368601,2930
spread 7.5-14,2,14,1.558703071672355,2930
spread 7.5-14,2,15,3.198976109215017,2930
spread 7.5-14,3,1,0.36621160409556314,2930
spread 7.5-14,3,2,0.4552901023890785,2930
spread 7.5-14,3,3,0.678839590443686,2930
spread 7.5-14,3,4,0.8665529010238908,2930
spread 7.5-14,3,5,0.9706484641638226,2930
spread 7.5-14,3,6,0.9808873720136518,2930
spread 7.5-14,3,7,1.009556313993174,2930
spread 7.5-14,3,8,0.9542662116040955,2930
spread 7.5-14,3,9,0.9054607508532423,2930
spread 7.5-14,3,10,0.951877133105802,2930
spread 7.5-14,3,11,0.9757679180887372,2930
spread 7.5-14,3,12,0.9447098976109215,2930
spread 7.5-14,3,13,0.9450511945392491,2930
spread 7.5-14,3,14,0.9167235494880546,2930
spread 7.5-14,3,15,0.9627986348122867,2930
spread 7.5-14,4,1,1.10580204778157,2930
spread 7.5-14,4,2,0.8866894197952219,2930
spread 7.5-14,4,3,0.9331058020477816,2930
spread 7.5-14,4,4,0.9829351535836177,2930
spread 7.5-14,4,5,0.9460750853242321,2930
spread 7.5-14,4,6,0.9259385665529011,2930
spread 7.5-14,4,7,0.8290102389078499,2930
spread 7.5-14,4,8,0.9262798634812287,2930
spread 7.5-14,4,9,0.9320819112627986,2930
spread 7.5-14,4,10,0.8624573378839591,2930
spread 7.5-14,4,11,0.8092150170648464,2930
spread 7.5-14,4,12,0.8784982935153584,2930
spread 7.5-14,4,13,1.0061433447098975,2930
spread 7.5-14,4,14,1.231740614334471,2930
spread 7.5-14,4,15,1.2805460750853241,2930
