bucket,period,minute,pts_per_cell,cells
offense down 15+,1,1,0.0,5
offense down 15+,1,2,0.0,6
offense down 15+,1,3,0.0,5
offense down 15+,1,4,1.5,4
offense down 15+,1,5,0.0,6
offense down 15+,1,6,1.4285714285714286,7
offense down 15+,1,7,0.7368421052631579,19
offense down 15+,1,8,0.65625,32
offense down 15+,1,9,0.71875,64
offense down 15+,1,10,0.7311827956989247,93
offense down 15+,1,11,0.6771653543307087,127
offense down 15+,1,12,0.8557692307692307,208
offense down 15+,1,13,0.6203007518796992,266
offense down 15+,1,14,0.7307692307692307,338
offense down 15+,1,15,0.718,500
offense down 15+,2,1,0.819047619047619,525
offense down 15+,2,2,0.6655052264808362,574
offense down 15+,2,3,0.6666666666666666,654
offense down 15+,2,4,0.9959183673469387,735
offense down 15+,2,5,0.893491124260355,845
offense down 15+,2,6,0.732912723449001,951
offense down 15+,2,7,0.7466937945066124,983
offense down 15+,2,8,0.6811059907834102,1085
offense down 15+,2,9,0.8257261410788381,1205
offense down 15+,2,10,0.7026378896882494,1251
offense down 15+,2,11,0.7368815592203898,1334
offense down 15+,2,12,0.7646219686162625,1402
offense down 15+,2,13,0.8490691489361702,1504
offense down 15+,2,14,1.2475490196078431,1632
offense down 15+,2,15,2.5963890506697727,1717
offense down 15+,3,1,0.3873640600725013,1931
offense down 15+,3,2,0.41366718831507565,1917
offense down 15+,3,3,0.5976951283394447,1909
offense down 15+,3,4,0.8676844783715013,1965
offense down 15+,3,5,0.7768595041322314,2057
offense down 15+,3,6,0.8428372739916551,2157
offense down 15+,3,7,0.7434625788999099,2218
offense down 15+,3,8,0.854416333777186,2253
offense down 15+,3,9,0.7873913043478261,2300
offense down 15+,3,10,0.9343157894736842,2375
offense down 15+,3,11,0.8458677685950413,2420
offense down 15+,3,12,0.8362354892205639,2412
offense down 15+,3,13,0.8696850393700788,2540
offense down 15+,3,14,0.7972055888223553,2505
offense down 15+,3,15,0.9116296863045141,2614
offense down 15+,4,1,0.9042721518987342,2528
offense down 15+,4,2,0.7608864696734059,2572
offense down 15+,4,3,0.8789254634884601,2643
