source,dataset,field,type,example
rest,adjusted_player_passing,athleteId,string,530478
rest,adjusted_player_passing,athleteName,string,Thomas Sirk
rest,adjusted_player_passing,conference,string,American Athletic
rest,adjusted_player_passing,plays,int,257
rest,adjusted_player_passing,position,string,QB
rest,adjusted_player_passing,team,string,East Carolina
rest,adjusted_player_passing,wepa,float,0.28
rest,adjusted_player_passing,year,int,2017
rest,adjusted_player_rushing,athleteId,string,505616
rest,adjusted_player_rushing,athleteName,string,David Hood
rest,adjusted_player_rushing,conference,string,American Athletic
rest,adjusted_player_rushing,plays,int,133
rest,adjusted_player_rushing,position,string,RB
rest,adjusted_player_rushing,team,string,Temple
rest,adjusted_player_rushing,wepa,float,0.17
rest,adjusted_player_rushing,year,int,2017
rest,adjusted_team_season,conference,string,
rest,adjusted_team_season,epa,object,"{""passing"": 0.18981714742010547, ""rushing"": 0.11967419515875"
rest,adjusted_team_season,epa.passing,float,0.18981714742010547
rest,adjusted_team_season,epa.rushing,float,0.1196741951587581
rest,adjusted_team_season,epa.total,float,0.13782212032207225
rest,adjusted_team_season,epaAllowed,object,"{""passing"": 0.25634192975756837, ""rushing"": 0.05805311079739"
rest,adjusted_team_season,epaAllowed.passing,float,0.25634192975756837
rest,adjusted_team_season,epaAllowed.rushing,float,0.058053110797391796
rest,adjusted_team_season,epaAllowed.total,float,0.14188024403006866
rest,adjusted_team_season,explosiveness,float,0.9721227237954676
rest,adjusted_team_season,explosivenessAllowed,float,1.0213615945025472
rest,adjusted_team_season,rushing,object,"{""highlightYards"": 1.9374384631461277, ""lineYards"": 2.909376"
rest,adjusted_team_season,rushing.highlightYards,float,1.9374384631461277
rest,adjusted_team_season,rushing.lineYards,float,2.90937680517274
rest,adjusted_team_season,rushing.openFieldYards,float,1.2358051491157231
rest,adjusted_team_season,rushing.secondLevelYards,float,1.070835801316689
rest,adjusted_team_season,rushingAllowed,object,"{""highlightYards"": 1.9840231075142898, ""lineYards"": 2.742899"
rest,adjusted_team_season,rushingAllowed.highlightYards,float,1.9840231075142898
rest,adjusted_team_season,rushingAllowed.lineYards,float,2.74289982386197
rest,adjusted_team_season,rushingAllowed.openFieldYards,float,1.2988759947879824
rest,adjusted_team_season,rushingAllowed.secondLevelYards,float,1.0246354913070204
rest,adjusted_team_season,successRate,object,"{""passingDowns"": 0.3252255630870741, ""standardDowns"": 0.4651"
rest,adjusted_team_season,successRate.passingDowns,float,0.3252255630870741
rest,adjusted_team_season,successRate.standardDowns,float,0.4651808975170755
rest,adjusted_team_season,successRate.total,float,0.42004208156894984
rest,adjusted_team_season,successRateAllowed,object,"{""passingDowns"": 0.323637420276615, ""standardDowns"": 0.46015"
rest,adjusted_team_season,successRateAllowed.passingDowns,float,0.323637420276615
rest,adjusted_team_season,successRateAllowed.standardDowns,float,0.4601516542577738
rest,adjusted_team_season,successRateAllowed.total,float,0.3982371566377504
rest,adjusted_team_season,team,string,Jacksonville State
rest,adjusted_team_season,teamId,int,55
rest,adjusted_team_season,year,int,2017
rest,advanced_game_stats,defense,object,"{""drives"": 13, ""explosiveness"": 1.0441242206517853, ""lineYar"
rest,advanced_game_stats,defense.drives,int,13
rest,advanced_game_stats,defense.explosiveness,float,1.0441242206517853
rest,advanced_game_stats,defense.lineYards,float,2.751851851851852
rest,advanced_game_stats,defense.lineYardsTotal,int,74
rest,advanced_game_stats,defense.openFieldYards,float,0.5555555555555556
rest,advanced_game_stats,defense.openFieldYardsTotal,int,15
rest,advanced_game_stats,defense.passingDowns,object,"{""explosiveness"": 2.2652802282982916, ""ppa"": 0.3488869507441"
rest,advanced_game_stats,defense.passingPlays,object,"{""explosiveness"": 1.4332885446918315, ""ppa"": 0.0988175525214"
rest,advanced_game_stats,defense.plays,int,63
rest,advanced_game_stats,defense.powerSuccess,float,0.75
rest,advanced_game_stats,defense.ppa,float,0.005617324633819418
rest,advanced_game_stats,defense.rushingPlays,object,"{""explosiveness"": 0.6195813216990078, ""ppa"": -0.118649645883"
rest,advanced_game_stats,defense.secondLevelYards,float,0.8148148148148148
rest,advanced_game_stats,defense.secondLevelYardsTotal,int,22
rest,advanced_game_stats,defense.standardDowns,object,"{""explosiveness"": 0.7049142185277559, ""ppa"": -0.166017488421"
rest,advanced_game_stats,defense.stuffRate,float,0.25925925925925924
rest,advanced_game_stats,defense.successRate,float,0.36507936507936506
rest,advanced_game_stats,defense.totalPPA,float,0.3538914519306233
rest,advanced_game_stats,gameId,int,401281942
rest,advanced_game_stats,offense,object,"{""drives"": 12, ""explosiveness"": 1.3573789107386853, ""lineYar"
rest,advanced_game_stats,offense.drives,int,12
rest,advanced_game_stats,offense.explosiveness,float,1.3573789107386853
rest,advanced_game_stats,offense.lineYards,float,2.9166666666666665
rest,advanced_game_stats,offense.lineYardsTotal,int,105
rest,advanced_game_stats,offense.openFieldYards,float,1.0555555555555556
rest,advanced_game_stats,offense.openFieldYardsTotal,int,38
rest,advanced_game_stats,offense.passingDowns,object,"{""explosiveness"": 2.7518151633639034, ""ppa"": 0.7746567155591"
rest,advanced_game_stats,offense.passingPlays,object,"{""explosiveness"": 1.7711772450817347, ""ppa"": 0.6360418094242"
rest,advanced_game_stats,offense.plays,int,76
rest,advanced_game_stats,offense.powerSuccess,float,0.4
rest,advanced_game_stats,offense.ppa,float,0.3445710675917783
rest,advanced_game_stats,offense.rushingPlays,object,"{""explosiveness"": 0.8462162624325653, ""ppa"": 0.0207146877779"
