source,endpoint,api_class,mode,used
CFBD REST,adjusted_player_passing,AdjustedMetricsApi,season,yes
CFBD REST,adjusted_player_rushing,AdjustedMetricsApi,season,yes
CFBD REST,adjusted_team_season,AdjustedMetricsApi,season,yes
CFBD REST,advanced_box_score,GamesApi,per_game,no
CFBD REST,advanced_game_stats,StatsApi,season,yes
CFBD REST,advanced_season_stats,StatsApi,season,yes
CFBD REST,calendar,GamesApi,season,yes
CFBD REST,coaches,CoachesApi,season,yes
CFBD REST,conference_sp,RatingsApi,season,yes
CFBD REST,conferences,ConferencesApi,once,yes
CFBD REST,draft_picks,DraftApi,season,yes
CFBD REST,draft_positions,DraftApi,once,yes
CFBD REST,draft_teams,DraftApi,once,yes
CFBD REST,drives,DrivesApi,season,yes
CFBD REST,elo,RatingsApi,season,yes
CFBD REST,fbs_teams,TeamsApi,season,yes
CFBD REST,field_goal_ep,MetricsApi,once,yes
CFBD REST,fpi,RatingsApi,season,yes
CFBD REST,game_havoc_stats,StatsApi,season,yes
CFBD REST,game_player_stats,GamesApi,season_week,yes
CFBD REST,game_team_stats,GamesApi,season_week,yes
CFBD REST,games,GamesApi,season,yes
CFBD REST,kicker_paar,AdjustedMetricsApi,season,yes
CFBD REST,lines,BettingApi,season,yes
CFBD REST,live_plays,PlaysApi,on_demand,"no (on_demand, not bulk-pulled by design)"
CFBD REST,matchup,TeamsApi,on_demand,"no (on_demand, not bulk-pulled by design)"
CFBD REST,media,GamesApi,season,yes
CFBD REST,play_stat_types,PlaysApi,once,yes
CFBD REST,play_stats,PlaysApi,season_week,yes
CFBD REST,play_types,PlaysApi,once,yes
CFBD REST,player_search,PlayersApi,on_demand,"no (on_demand, not bulk-pulled by design)"
CFBD REST,player_season_overview,PlayersApi,per_player,no
CFBD REST,player_season_stats,StatsApi,season,yes
CFBD REST,player_usage,PlayersApi,season,yes
CFBD REST,plays,PlaysApi,season_week,yes
CFBD REST,ppa_games,MetricsApi,season,yes
CFBD REST,ppa_players_games,MetricsApi,season_week,yes
CFBD REST,ppa_players_season,MetricsApi,season,yes
CFBD REST,ppa_teams,MetricsApi,season,yes
CFBD REST,predicted_points,MetricsApi,grid,yes
CFBD REST,pregame_win_prob,MetricsApi,season,yes
CFBD REST,rankings,RankingsApi,season,yes
CFBD REST,records,GamesApi,season,yes
CFBD REST,recruiting_groups,RecruitingApi,once,yes
CFBD REST,recruiting_teams,RecruitingApi,season,yes
CFBD REST,recruits,RecruitingApi,season,yes
CFBD REST,returning_production,PlayersApi,season,yes
CFBD REST,roster,TeamsApi,season,yes
CFBD REST,scoreboard,GamesApi,on_demand,"no (on_demand, not bulk-pulled by design)"
CFBD REST,sp,RatingsApi,season,yes
CFBD REST,srs,RatingsApi,season,yes
CFBD REST,stat_categories,StatsApi,once,yes
CFBD REST,talent,TeamsApi,season,yes
CFBD REST,team_stats,StatsApi,season,yes
CFBD REST,teams,TeamsApi,season,yes
CFBD REST,teams_ats,TeamsApi,season,yes
CFBD REST,transfer_portal,PlayersApi,season,yes
CFBD REST,user_info,InfoApi,once,yes
CFBD REST,venues,VenuesApi,once,yes
CFBD REST,weather,GamesApi,season,yes
CFBD REST,win_probability,MetricsApi,per_game,no
CFBD GraphQL,adjustedPlayerMetrics,default_table,graphql_table,yes
CFBD GraphQL,adjustedTeamMetrics,default_table,graphql_table,yes
CFBD GraphQL,athlete,default_table,graphql_table,yes
CFBD GraphQL,athleteByPk,unused,graphql_table,no
CFBD GraphQL,athleteTeam,default_table,graphql_table,yes
CFBD GraphQL,calendar,default_table,graphql_table,yes
CFBD GraphQL,coach,default_table,graphql_table,yes
CFBD GraphQL,coachSeason,default_table,graphql_table,yes
CFBD GraphQL,conference,default_table,graphql_table,yes
CFBD GraphQL,currentTeams,default_table,graphql_table,yes
CFBD GraphQL,draftPicks,default_table,graphql_table,yes
CFBD GraphQL,draftPosition,unused,graphql_table,no
CFBD GraphQL,draftTeam,unused,graphql_table,no
CFBD GraphQL,game,default_table,graphql_table,yes
CFBD GraphQL,gameLines,default_table,graphql_table,yes
CFBD GraphQL,gameMedia,default_table,graphql_table,yes
CFBD GraphQL,gamePlayerStat,bespoke,graphql_table,yes
CFBD GraphQL,gameTeam,default_table,graphql_table,yes
CFBD GraphQL,gameWeather,default_table,graphql_table,yes
CFBD GraphQL,historicalTeam,default_table,graphql_table,yes
CFBD GraphQL,hometown,unused,graphql_table,no
CFBD GraphQL,linesProvider,bespoke,graphql_table,yes
CFBD GraphQL,playerStatCategory,unused,graphql_table,no
CFBD GraphQL,playerStatType,unused,graphql_table,no
CFBD GraphQL,poll,default_table,graphql_table,yes
CFBD GraphQL,pollRank,default_table,graphql_table,yes
CFBD GraphQL,pollType,unused,graphql_table,no
CFBD GraphQL,position,unused,graphql_table,no
CFBD GraphQL,predictedPoints,default_table,graphql_table,yes
CFBD GraphQL,ratings,default_table,graphql_table,yes
CFBD GraphQL,recruit,default_table,graphql_table,yes
CFBD GraphQL,recruitPosition,unused,graphql_table,no
CFBD GraphQL,recruitSchool,unused,graphql_table,no
CFBD GraphQL,recruitingTeam,default_table,graphql_table,yes
CFBD GraphQL,scoreboard,unused,graphql_table,no
CFBD GraphQL,teamTalent,default_table,graphql_table,yes
CFBD GraphQL,transfer,default_table,graphql_table,yes
CFBD GraphQL,weatherCondition,bespoke,graphql_table,yes
ActionNetwork,scoreboard,n/a,per_week,"yes (2025 only, not integrated into pipeline)"
ActionNetwork,history,n/a,per_event,"yes (2025 only, not integrated into pipeline)"
