game_id,season,week,date,away_team,home_team,fav_team,dog_team,spread,total,fav_pts,dog_pts,actual_total,bias,model_prob,over,threshold,passes_filter,flat_units_risked,flat_units_pnl,kelly_units,kelly_units_pnl
400876112,2016,1,2017-01-03,Auburn,Oklahoma,Oklahoma,Auburn,2,67,35,19,54,0.01357310466,0.4825903784,0,1.75,0,0,0,0,0
400876110,2016,1,2017-01-02,Western Michigan,Wisconsin,Wisconsin,Western Michigan,9,53.5,24,16,40,0.1293715222,0.4872068849,0,1.75,0,0,0,0,0
400876095,2016,1,2016-12-28,Minnesota,Washington State,Washington State,Minnesota,8.5,61,12,17,29,0.0490691275,0.4840052701,0,1.75,0,0,0,0,0
400868922,2016,1,2016-09-04,BYU,Arizona,BYU,Arizona,1,63.5,18,16,34,0.02221483354,0.4829348231,0,1.75,0,0,0,0,0
400869156,2016,11,2016-11-13,Colorado,Arizona,Colorado,Arizona,17.5,61,49,24,73,0.130164328,0.4872384981,1,1.75,0,0,0,0,0
400869241,2016,11,2016-11-13,Colorado State,Air Force,Air Force,Colorado State,7,54,49,46,95,0.1035883138,0.486178822,1,1.75,0,0,0,0,0
400869342,2016,1,2016-09-01,Indiana,Florida International,Indiana,Florida International,10,64,34,13,47,0.03879178784,0.483595588,0,1.75,0,0,0,0,0
400868968,2016,1,2016-09-02,South Carolina,Vanderbilt,Vanderbilt,South Carolina,5,40.5,10,13,23,0.4218488261,0.4988732387,0,1.75,0,0,0,0,0
400869347,2016,1,2016-09-02,Rice,Western Kentucky,Western Kentucky,Rice,19,64.5,46,14,60,0.103062347,0.4861578509,0,1.75,0,0,0,0,0
400869258,2016,1,2016-09-02,Ball State,Georgia State,Georgia State,Ball State,6.5,56,21,31,52,0.07800130222,0.4851586729,0,1.75,0,0,0,0,0
400869348,2016,1,2016-09-04,New Mexico State,UTEP,UTEP,New Mexico State,9.5,58,38,22,60,0.0789476159,0.4851964005,1,1.75,0,0,0,0,0
400869351,2016,2,2016-09-09,Maryland,Florida International,Maryland,Florida International,11.5,56.5,41,14,55,0.1151813309,0.4866410635,0,1.75,0,0,0,0,0
400869184,2016,2,2016-09-10,Georgia State,Air Force,Air Force,Georgia State,23.5,53,48,14,62,0.5419704943,0.5036655068,1,1.75,0,0,0,0,0
400869355,2016,2,2016-09-10,Old Dominion,App State,App State,Old Dominion,21,54,31,7,38,0.3901979695,0.4976105229,0,1.75,0,0,0,0,0
400869185,2016,2,2016-09-10,UTSA,Colorado State,Colorado State,UTSA,8.5,51.5,23,14,37,0.1564643215,0.4882872571,0,1.75,0,0,0,0,0
400876041,2016,1,2016-12-18,Southern Miss,Louisiana,Southern Miss,Louisiana,5.5,56.5,28,21,49,0.06826056869,0.4847703369,0,1.75,0,0,0,0,0
400876045,2016,1,2016-12-23,Idaho,Colorado State,Colorado State,Idaho,16,64.5,50,61,111,0.07280263661,0.4849514147,1,1.75,0,0,0,0,0
400876046,2016,1,2016-12-23,Eastern Michigan,Old Dominion,Old Dominion,Eastern Michigan,5,63,24,20,44,0.02783726377,0.4831589306,0,1.75,0,0,0,0,0
400876049,2016,1,2016-12-25,Hawai'i,Middle Tennessee,Middle Tennessee,Hawai'i,7.5,70,35,52,87,0.01287281565,0.4825624666,1,1.75,0,0,0,0,0
400876096,2016,1,2016-12-28,Boise State,Baylor,Boise State,Baylor,7,70.5,12,31,43,0.01135117176,0.482501818,0,1.75,0,0,0,0,0
400928102,2016,1,2016-12-30,South Alabama,Air Force,Air Force,South Alabama,14.5,54,45,21,66,0.2060862823,0.4902662358,1,1.75,0,0,0,0,0
400869357,2016,2,2016-09-10,UTEP,Texas,Texas,UTEP,31,58,41,7,48,0.6771870873,0.5090593212,0,1.75,0,0,0,0,0
400868991,2016,2,2016-09-10,Middle Tennessee,Vanderbilt,Vanderbilt,Middle Tennessee,3,51,47,24,71,0.1199788377,0.4868323569,1,1.75,0,0,0,0,0
400868987,2016,2,2016-09-10,South Carolina,Mississippi State,Mississippi State,South Carolina,7.5,50.5,27,14,41,0.1625496449,0.488529932,0,1.75,0,0,0,0,0
400869811,2016,2,2016-09-10,Georgia Southern,South Alabama,Georgia Southern,South Alabama,13.5,57.5,24,9,33,0.125984072,0.4870718109,0,1.75,0,0,0,0,0
400868982,2016,2,2016-09-10,Arkansas State,Auburn,Auburn,Arkansas State,20.5,51,51,14,65,0.4962163325,0.5018401639,1,1.75,0,0,0,0,0
400868988,2016,2,2016-09-10,Eastern Michigan,Missouri,Missouri,Eastern Michigan,23,58.5,61,21,82,0.303680691,0.494159062,1,1.75,0,0,0,0,0
400869361,2016,3,2016-09-17,Baylor,Rice,Baylor,Rice,33.5,66,38,10,48,0.4071814951,0.4982880811,0,1.75,0,0,0,0,0
400869193,2016,3,2016-09-17,Arkansas State,Utah State,Utah State,Arkansas State,9.5,56,34,20,54,0.1006391304,0.4860612339,0,1.75,0,0,0,0,0
400869000,2016,3,2016-09-17,Ohio,Tennessee,Tennessee,Ohio,27,57.5,28,19,47,0.4927813125,0.5017031232,0,1.75,0,0,0,0,0
400869281,2016,3,2016-09-17,Middle Tennessee,Bowling Green,Middle Tennessee,Bowling Green,5.5,73,41,21,62,0.006730608671,0.4823176573,0,1.75,0,0,0,0,0
400869195,2016,3,2016-09-17,Fresno State,Toledo,Toledo,Fresno State,21.5,57.5,52,17,69,0.2891440667,0.4935791838,1,1.75,0,0,0,0,0
