prior,gl_unit,coverage,supported,gl_bets,staked,median,median_pct,p5,p95,p_down,p_m25,p_bust,worst_week_med,ratio,passes_a
pooled,0.0025,0.13,True,88,6533.162,20480.303030303032,0.024015151515151593,19143.939393939392,21812.196969696965,0.2741,0.0,0.0,-309.0909090909091,0.35941043083900254,True
pooled,0.005,0.13,True,88,10946.048,20821.21212121212,0.041060606060606006,18684.848484848484,22945.454545454544,0.26252,2e-05,0.0,-460.6060606060606,0.38439716312056693,True
pooled,0.01,0.13,True,88,19771.82,21501.515151515152,0.0750757575757576,17478.78787878788,25463.636363636364,0.26908,0.0039,0.0,-869.6969696969697,0.3732580037664785,True
pooled,0.015,0.13,True,88,28597.592,22181.81818181818,0.109090909090909,16196.969696969696,28060.60606060606,0.27336,0.02438,0.0,-1287.8787878787878,0.36455696202531623,False
pooled,0.02,0.13,True,88,37423.364,22863.63636363636,0.14318181818181802,14878.787878787878,30691.06060606059,0.27608,0.05306,0.0,-1739.3939393939395,0.35863377609108127,False
pooled,0.0025,0.25,False,170,10610.742,20783.333333333332,0.03916666666666661,18960.60606060606,22622.727272727272,0.23806,0.0,0.0,-381.8181818181818,0.42975893599334947,True
pooled,0.005,0.25,False,170,19101.208,21442.42424242424,0.07212121212121202,18099.848484848484,24754.696969696957,0.23922,0.00082,0.0,-678.7878787878788,0.43153075563211046,True
pooled,0.01,0.25,False,170,36082.14,22751.515151515152,0.1375757575757576,16175.757575757576,29221.21212121212,0.24684,0.0271,0.0,-1342.4242424242425,0.41843317972350236,False
pooled,0.015,0.25,False,170,53063.072,24075.757575757576,0.2037878787878788,14175.757575757576,33760.75757575757,0.25054,0.06556,2e-05,-2042.4242424242423,0.41169268441995716,False
pooled,0.02,0.25,False,170,70044.004,25386.363636363632,0.2693181818181816,12178.636363636362,38278.78787878788,0.25274,0.09846,0.00106,-2745.4545454545455,0.4078191141549366,False
pooled,0.0025,0.5,False,340,19096.837,21445.454545454544,0.07227272727272721,18404.545454545456,24389.469696969692,0.21424,0.0003,0.0,-581.8181818181818,0.47533632286995514,True
pooled,0.005,0.5,False,340,36073.398,22754.545454545456,0.13772727272727278,16745.454545454544,28530.303030303032,0.22252,0.01572,0.0,-1142.4242424242425,0.45839636913767023,False
pooled,0.01,0.5,False,340,70026.52,25357.575757575756,0.2678787878787878,13378.787878787878,36936.36363636363,0.22946,0.07694,0.00032,-2327.272727272727,0.44725524917783954,False
pooled,0.015,0.5,False,340,103979.642,27983.33333333333,0.39916666666666645,9993.787878787878,45345.454545454544,0.2319,0.11696,0.0071,-3490.909090909091,0.4437762673606723,False
pooled,0.02,0.5,False,340,137932.764,30598.484848484844,0.5299242424242422,6590.909090909086,53766.969696969674,0.23348,0.14048,0.02522,-4672.727272727273,0.4414641842852633,False
pooled,0.0025,1.0,False,679,36061.884,22725.757575757576,0.1362878787878788,17169.696969696968,28145.454545454544,0.207,0.01146,0.0,-1022.7272727272727,0.4905917643850558,False
pooled,0.005,1.0,False,679,70003.492,25290.90909090909,0.2645454545454544,14148.333333333332,36154.545454545456,0.2125,0.06356,0.00016,-2072.727272727273,0.4748371656626914,False
pooled,0.01,1.0,False,679,137886.708,30436.363636363632,0.5218181818181816,8066.5151515151465,52287.878787878784,0.21676,0.12454,0.0183,-4181.818181818182,0.46653707303526776,False
pooled,0.015,1.0,False,679,205769.924,35574.24242424242,0.7787121212121209,1917.8787878787805,68451.66666666664,0.21836,0.15258,0.0657,-6309.090909090909,0.46274287360668404,False
pooled,0.02,1.0,False,679,273653.14,40727.27272727272,1.036363636363636,-4194.242424242424,84624.54545454543,0.21948,0.16794,0.11712,-8436.363636363636,0.4614108107743471,False
n49,0.0025,0.13,True,88,6534.995,20366.666666666668,0.018333333333333392,18749.924242424244,21942.424242424244,0.35344,0.0,0.0,-318.1818181818182,0.2267934960873444,True
n49,0.005,0.13,True,88,10947.938,20593.939393939392,0.029696969696969607,17818.181818181816,23296.969696969696,0.36212,0.00028,0.0,-509.0909090909091,0.21397379912663692,True
n49,0.01,0.13,True,88,19773.824,21051.515151515152,0.052575757575757595,15736.363636363636,26236.363636363636,0.37266,0.03032,0.0,-890.909090909091,0.1978335233751426,False
n49,0.015,0.13,True,88,28599.71,21503.0303030303,0.07515151515151501,13590.909090909092,29239.393939393936,0.37712,0.08852,0.0,-1387.8787878787878,0.1899655304481039,False
n49,0.02,0.13,True,88,37425.596,21951.515151515152,0.0975757575757576,11421.21212121212,32272.727272727272,0.38072,0.13974,0.00028,-1869.6969696969697,0.18532374100719426,False
n49,0.0025,0.25,False,170,10612.535,20584.848484848484,0.029242424242424205,18100.0,23001.515151515152,0.3516,0.00012,0.0,-409.0909090909091,0.23536585365853635,True
n49,0.005,0.25,False,170,19103.018,21018.18181818182,0.050909090909090994,16287.878787878788,25642.42424242424,0.3637,0.0178,0.0,-736.3636363636364,0.21524663677130074,False
n49,0.01,0.25,False,170,36083.984,21884.848484848484,0.0942424242424242,12505.909090909092,31088.03030303029,0.3724,0.11372,2e-05,-1472.7272727272727,0.20096605870664444,False
n49,0.015,0.25,False,170,53064.95,22745.454545454544,0.1372727272727272,8699.999999999998,36554.545454545456,0.37506,0.18336,0.004,-2181.818181818182,0.19546925566343032,False
n49,0.02,0.25,False,170,70045.916,23633.33333333333,0.18166666666666642,4833.333333333334,42057.57575757576,0.37672,0.22568,0.02052,-2924.2424242424245,0.19326241134751754,False
n49,0.0025,0.5,False,340,19093.913,21030.30303030303,0.05151515151515141,16445.454545454544,25436.363636363636,0.35496,0.01384,0.0,-622.7272727272727,0.22471910112359508,False
n49,0.005,0.5,False,340,36065.774,21915.151515151512,0.09575757575757561,12845.151515151516,30630.303030303032,0.3629,0.10408,0.0,-1218.1818181818182,0.21115231699575668,False
